Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8,Proficiency Level,Skill Category,Years of Experience,Job Role Suggestions,Average Skill Score
39,88,52,62,80,20,45,30,Advanced,Data Science,7,Data Scientist,62.0
29,60,40,90,70,34,77,82,Intermediate,Frontend Development,5,Web Developer,57.75
75,50,11,30,85,22,90,54,Beginner,Web Development,2,Junior Developer,49.0
60,93,60,54,82,40,10,72,Expert,Full Stack Development,11,Senior Developer,67.5
34,68,38,72,40,10,25,84,Intermediate,UI/UX Design,5,UI Developer,57.5
90,59,70,49,70,20,64,30,Beginner,SEO,1,Web Development Intern,48.0
53,84,22,78,60,10,80,90,Advanced,Web Design,6,Web Designer,61.25
12,61,90,36,48,50,34,44,Expert,Software Engineering,9,Technical Lead,67.0
20,68,34,78,85,55,20,64,Intermediate,Data Analysis,4,Data Analyst,59.0
78,50,44,62,20,80,40,30,Beginner,Mobile Development,1,Web Development Intern,49.5
37,92,25,70,60,30,75,60,Intermediate,Web Development,3,Web Developer,58.5
43,80,14,45,72,80,90,75,Advanced,Frontend Development,7,Frontend Developer,62.0
16,95,36,90,50,20,60,42,Expert,UI/UX Design,12,Lead UI Designer,68.5
52,38,30,26,90,22,36,76,Beginner,Data Science,1,Web Development Intern,46.5
40,67,80,50,78,50,25,90,Intermediate,Software Development,5,Software Engineer,57.0
65,56,22,60,40,80,44,54,Advanced,Web Design,8,Web Designer,62.5
71,91,32,34,15,90,88,30,Expert,Mobile Development,11,Mobile Engineer,67.0
87,42,44,56,60,22,25,90,Intermediate,SEO,6,SEO Specialist,60.75
11,85,70,72,90,34,82,40,Beginner,Web Development,1,Web Development Intern,48.0
38,60,18,39,50,80,66,74,Advanced,Data Analysis,8,Data Analyst,62.25
62,45,15,20,67,90,20,40,Intermediate,UI/UX Design,5,UI Developer,59.0
25,82,42,36,40,20,90,92,Beginner,Full Stack Development,1,Web Development Intern,47.5
91,36,24,90,85,67,70,54,Expert,Software Engineering,10,Technical Lead,66.5
56,83,14,72,30,12,39,88,Intermediate,Web Design,3,Web Designer,58.0
23,54,67,78,82,34,20,40,Beginner,Mobile Development,1,Web Development Intern,47.0
76,67,45,31,90,40,22,12,Intermediate,Web Development,6,Web Developer,59.25
14,35,25,12,81,89,75,30,Advanced,Frontend Development,9,Frontend Developer,62.0
45,90,30,45,39,20,88,40,Beginner,Data Science,1,Web Development Intern,50.0
83,75,34,76,88,55,66,90,Expert,Software Development,12,Lead Developer,68.5
34,82,30,54,75,44,40,50,Intermediate,UI/UX Design,4,UI Developer,58.5
62,20,12,88,90,60,49,32,Beginner,Web Development,2,Junior Developer,48.5
41,67,29,56,80,72,30,22,Intermediate,Mobile Development,5,Mobile Developer,57.5
61,81,66,72,90,10,80,36,Beginner,Web Design,1,Web Development Intern,47.5
34,75,18,55,80,30,66,90,Intermediate,SEO,6,SEO Specialist,58.0
72,78,60,22,90,20,40,14,Beginner,Mobile Development,1,Web Development Intern,48.0
31,66,76,51,60,20,55,78,Advanced,Web Development,8,Web Developer,62.0
88,39,82,80,20,90,30,44,Expert,Data Science,11,Data Scientist,66.5
40,62,38,66,30,80,50,60,Intermediate,Software Development,5,Software Engineer,59.0
38,86,64,90,85,20,66,34,Beginner,UI/UX Design,1,Web Development Intern,47.0
44,87,25,54,60,40,80,90,Advanced,Full Stack Development,7,Software Engineer,63.0
34,41,38,90,36,55,20,60,Intermediate,Web Design,5,Web Designer,58.5
19,93,26,52,38,70,62,22,Beginner,Mobile Development,1,Web Development Intern,46.0
74,68,45,30,90,75,20,88,Expert,Software Engineering,10,Senior Engineer,67.75
38,72,18,36,80,50,66,90,Intermediate,Web Development,4,Web Developer,59.5
29,49,38,80,60,12,80,20,Beginner,Data Analysis,1,Web Development Intern,46.75
44,76,50,74,78,20,62,58,Advanced,UI/UX Design,6,UI Designer,62.0
50,67,90,75,80,40,20,88,Intermediate,Mobile Development,5,Mobile Developer,59.0
62,68,40,60,50,22,10,76,Beginner,Web Development,2,Web Development Intern,48.5
57,48,76,72,38,90,60,90,Expert,Data Science,10,Data Scientist,66.5
37,59,38,40,50,14,12,90,Intermediate,SEO,4,SEO Specialist,58.5
23,65,60,74,30,80,22,42,Beginner,Software Development,1,Web Development Intern,47.0
26,39,20,66,90,55,12,40,Intermediate,Web Design,3,Web Designer,57.0
88,90,38,12,78,20,80,90,Advanced,Full Stack Development,9,Full Stack Developer,62.0
21,66,34,62,34,85,70,40,Expert,UI/UX Design,12,Lead UI Designer,67.5
25,70,60,50,80,34,80,62,Beginner,Mobile Development,2,Web Development Intern,49.0
29,44,76,36,90,10,20,88,Intermediate,Software Engineering,6,Software Engineer,58.75
85,90,65,50,22,34,78,75,Advanced,Web Development,7,Web Developer,61.25
12,34,50,18,30,40,90,62,Beginner,Data Analysis,1,Web Development Intern,45.0
16,39,44,40,90,30,60,90,Expert,Frontend Development,10,Lead Frontend Developer,68.0
66,56,90,78,80,34,20,36,Intermediate,Mobile Development,5,Mobile Developer,59.0
47,54,14,70,20,72,90,12,Beginner,Web Design,1,Web Development Intern,47.5
19,68,76,86,30,75,12,60,Advanced,Software Development,8,Software Engineer,61.75
58,80,32,45,70,30,90,64,Intermediate,UI/UX Design,4,UI Developer,59.5
20,85,61,82,88,40,80,54,Beginner,Data Analysis,1,Web Development Intern,48.5
44,68,90,88,30,60,90,62,Expert,Full Stack Development,10,Lead Developer,67.0
74,78,68,24,90,80,34,20,Beginner,Web Development,1,Web Development Intern,45.5
28,64,38,56,80,20,66,12,Intermediate,SEO,4,SEO Analyst,58.0
84,90,54,60,32,80,40,88,Advanced,Mobile Development,9,Mobile Developer,62.5
20,66,80,90,70,34,20,54,Beginner,Web Design,1,Web Development Intern,47.5
31,56,32,72,90,40,30,88,Intermediate,Software Development,4,Software Engineer,58.5
24,82,40,58,80,20,80,90,Expert,Data Science,10,Lead Data Scientist,67.5
33,68,60,75,45,32,10,48,Advanced,Web Development,7,Web Developer,61.0
99,54,48,30,90,20,12,60,Beginner,UI/UX Design,1,Web Development Intern,45.0
27,85,80,68,40,30,50,82,Intermediate,Frontend Development,6,Frontend Developer,59.5
78,20,90,75,30,60,54,22,Expert,Software Engineering,10,Technical Lead,68.0
57,80,22,46,90,40,30,58,Beginner,Web Design,1,Web Development Intern,46.5
77,36,60,70,80,22,20,30,Advanced,Mobile Development,8,Mobile Developer,62.0
29,67,90,75,60,50,88,14,Intermediate,Data Analysis,6,Data Analyst,59.0
39,82,16,80,80,30,90,20,Beginner,Web Development,2,Web Development Intern,48.0
30,67,80,54,80,44,20,90,Expert,Full Stack Development,11,Senior Developer,66.0
58,45,68,76,36,20,10,44,Intermediate,UI/UX Design,4,UI Developer,59.0
31,87,54,26,60,72,40,56,Advanced,Software Engineering,8,Software Engineer,62.0
77,32,90,88,30,80,44,54,Beginner,Web Development,1,Web Development Intern,48.0
75,60,34,12,28,20,88,48,Intermediate,Data Science,5,Data Analyst,57.0
61,82,60,40,78,20,30,90,Expert,Mobile Development,10,Lead Mobile Engineer,67.5
14,68,30,90,20,34,20,50,Beginner,UI/UX Design,2,Web Development Intern,47.0
63,90,16,60,85,40,20,80,Advanced,Software Development,7,Software Engineer,61.0
59,48,18,76,90,30,32,72,Intermediate,Web Development,4,Web Developer,59.0
21,66,34,88,75,20,40,90,Beginner,Data Analysis,1,Web Development Intern,46.0
92,66,78,12,80,20,30,70,Expert,Frontend Development,12,Lead Frontend Developer,68.5
21,92,50,36,34,80,20,88,Advanced,Mobile Development,7,Mobile Developer,62.0
20,50,40,48,38,90,60,30,Intermediate,Software Engineering,4,Software Engineer,59.5
86,80,66,60,50,40,12,72,Beginner,Web Design,2,Web Development Intern,48.0
19,72,90,85,40,30,70,64,Intermediate,UI/UX Design,5,UI Developer,58.5
35,70,20,68,34,80,40,40,Expert,Data Science,10,Lead Data Scientist,67.5
12,80,62,24,60,14,90,54,Beginner,Mobile Development,1,Web Development Intern,45.0
46,45,66,62,90,60,40,22,Intermediate,Web Development,3,Web Developer,58.0
12,82,36,90,20,30,60,54,Advanced,Software Engineering,6,Software Engineer,61.0
54,36,72,90,80,30,14,78,Beginner,Data Analysis,1,Web Development Intern,45.5
67,78,40,90,22,40,30,50,Intermediate,UI/UX Design,4,UI Developer,59.0
76,60,90,80,34,20,66,14,Expert,Mobile Development,12,Senior Mobile Developer,67.0
12,90,50,54,70,34,30,40,Beginner,Web Design,1,Web Development Intern,46.0
33,45,34,88,60,20,40,58,Intermediate,Software Development,6,Software Engineer,58.0
72,76,68,90,80,22,20,30,Advanced,Frontend Development,7,Frontend Developer,62.5
35,61,48,32,34,90,30,40,Beginner,Data Science,2,Web Development Intern,45.0
18,76,20,45,50,40,66,90,Intermediate,Mobile Development,5,Mobile Developer,59.5
12,34,36,28,60,30,90,20,Expert,Web Design,9,Lead Web Designer,66.5
45,75,90,12,40,80,88,80,Beginner,Software Engineering,1,Web Development Intern,48.0
43,66,34,36,80,50,20,90,Intermediate,UI/UX Design,5,UI Developer,59.0
35,64,80,34,20,60,12,76,Expert,Data Science,11,Lead Data Scientist,68.0
78,60,34,72,90,22,40,54,Beginner,Web Development,1,Web Development Intern,46.5
50,72,26,68,60,20,10,88,Advanced,Mobile Development,8,Mobile Developer,61
9,11,14,6,7,18,19,8,Beginner,Web Development,0,Intern/Trainee,9.5
3,5,12,8,6,9,7,4,Beginner,UI/UX Design,0,Intern/Trainee,5.9
14,7,6,4,5,12,8,3,Beginner,SEO,1,SEO Assistant,7.4
10,9,11,8,4,6,12,5,Beginner,Data Science,0,Intern/Trainee,7.3
2,8,4,5,6,3,7,10,Beginner,Mobile Development,1,Mobile Development Intern,5.6
6,5,9,7,8,3,6,9,Beginner,Frontend Development,0,Intern/Trainee,6.2
8,12,5,11,4,10,3,7,Beginner,Software Engineering,1,Junior Developer,6.7
10,3,9,4,8,11,6,2,Beginner,Web Design,1,Web Design Assistant,6.5
11,6,5,4,9,3,7,10,Beginner,Data Analysis,0,Intern/Trainee,6.3
4,2,8,10,5,9,6,11,Beginner,Software Development,0,Intern/Trainee,5.8
7,6,10,12,5,4,8,3,Beginner,Web Development,1,Junior Web Developer,6.9
12,3,5,7,9,8,6,5,Beginner,Mobile Development,0,Intern/Trainee,6.6
5,7,6,8,4,10,9,3,Beginner,Frontend Development,1,Junior Developer,6.5
9,6,3,5,8,2,7,6,Beginner,UI/UX Design,0,Intern/Trainee,5.5
4,3,10,7,2,11,9,8,Beginner,Software Engineering,0,Intern/Trainee,6.3
10,8,5,3,7,9,4,5,Beginner,SEO,1,SEO Intern,6.4
6,9,4,2,8,5,10,7,Beginner,Web Development,0,Intern/Trainee,6.3
7,5,6,3,9,11,2,8,Beginner,Software Development,1,Junior Software Engineer,6.4
3,4,5,8,9,6,2,7,Beginner,Data Analysis,1,Data Intern,5.8
9,2,10,6,7,3,5,9,Beginner,Web Design,0,Intern/Trainee,5.7
8,6,3,4,5,7,10,12,Beginner,UI/UX Design,0,Intern/Trainee,6.1
7,10,8,11,4,6,5,9,Beginner,Mobile Development,0,Intern/Trainee,6.3
6,3,5,9,11,10,4,7,Beginner,Software Engineering,1,Junior Developer,6.3
2,7,6,8,4,9,10,5,Beginner,Frontend Development,0,Intern/Trainee,5.8
9,8,3,6,7,12,9,4,Beginner,Data Science,0,Intern/Trainee,6.3
5,10,9,2,6,4,3,10,Beginner,Web Development,1,Junior Developer,5.9
3,8,7,5,4,11,10,6,Beginner,SEO,1,SEO Assistant,6.0
6,5,8,9,7,4,3,11,Beginner,Software Development,0,Intern/Trainee,6.0
8,4,7,3,9,5,6,2,Beginner,Web Design,1,Junior Web Designer,5.7
5,3,2,10,8,6,12,4,Beginner,Frontend Development,0,Intern/Trainee,5.4
11,7,8,4,6,3,9,5,Beginner,Mobile Development,0,Intern/Trainee,6.0
6,2,4,9,8,7,6,4,Beginner,Software Engineering,0,Intern/Trainee,5.6
9,6,7,5,6,8,3,9,Beginner,Data Analysis,1,Junior Data Analyst,6.1
7,8,6,4,5,11,7,3,Beginner,UI/UX Design,1,Junior UI Designer,6.0
10,4,2,7,8,5,6,3,Beginner,SEO,1,SEO Intern,5.8
3,11,8,6,9,5,6,10,Beginner,Web Development,0,Intern/Trainee,6.0
5,3,7,4,6,9,11,8,Beginner,Software Development,1,Junior Developer,5.9
6,10,3,5,9,7,8,11,Beginner,Data Science,1,Junior Data Scientist,6.1
7,5,6,11,8,4,10,3,Beginner,Mobile Development,1,Mobile Development Assistant,6.0
9,8,4,7,10,3,5,11,Beginner,UI/UX Design,0,Intern/Trainee,6.2
4,7,9,10,6,8,5,2,Beginner,Web Design,0,Intern/Trainee,5.9
3,6,8,11,9,5,7,4,Beginner,Software Engineering,0,Intern/Trainee,6.0
5,4,6,8,10,11,9,7,Beginner,Mobile Development,0,Intern/Trainee,5.9
10,7,4,9,8,5,3,10,Beginner,Web Development,1,Junior Web Developer,6.0
6,2,10,7,8,3,5,9,Beginner,Data Science,1,Junior Analyst,5.9
9,5,11,3,8,4,7,10,Beginner,Frontend Development,0,Intern/Trainee,6.0
8,3,6,7,4,10,5,2,Beginner,SEO,1,SEO Assistant,5.8
7,10,6,9,11,4,8,2,Beginner,Software Development,1,Junior Developer,6.1
6,9,7,10,3,5,8,4,Beginner,Mobile Development,1,Junior Mobile Developer,6.0
5,6,8,10,7,3,2,9,Beginner,UI/UX Design,1,Junior UI Designer,5.8
4,10,7,5,9,6,6,8,Beginner,Web Development,0,Intern/Trainee,5.9
9,5,4,8,6,12,10,3,Beginner,Frontend Development,0,Intern/Trainee,6.0
10,6,9,3,8,5,4,11,Beginner,Software Engineering,1,Junior Software Developer,5.9
7,8,3,9,11,5,6,4,Beginner,Data Analysis,1,Junior Data Analyst,6.1
3,5,8,6,11,9,12,7,Beginner,Mobile Development,0,Intern/Trainee,6.1
6,7,10,3,9,6,4,5,Beginner,SEO,0,Intern/Trainee,5.9
7,5,4,12,9,3,8,6,Beginner,Software Development,1,Junior Developer,5.8
8,6,9,7,4,10,6,5,Beginner,UI/UX Design,0,Intern/Trainee,5.9
3,9,7,5,11,10,8,4,Beginner,Data Science,1,Junior Data Analyst,6.0
5,7,4,11,10,8,3,7,Beginner,Mobile Development,1,Junior Developer,6.0
6,9,10,5,8,7,3,11,Beginner,Web Development,1,Junior Web Developer,6.1
7,6,11,5,9,4,6,3,Beginner,SEO,0,Intern/Trainee,5.8
9,8,7,10,6,3,11,5,Beginner,Frontend Development,0,Intern/Trainee,6.0
8,7,6,11,3,9,5,4,Beginner,Data Science,1,Junior Analyst,5.9
9,11,7,5,8,4,10,3,Beginner,Mobile Development,0,Intern/Trainee,6.0
7,10,5,12,4,8,6,3,Beginner,Software Engineering,0,Intern/Trainee,5.9
6,9,4,7,10,6,8,9,Beginner,UI/UX Design,0,Intern/Trainee,6.1
8,7,6,4,10,9,5,3,Beginner,Web Development,1,Junior Developer,6.0
5,6,4,7,8,9,3,11,Beginner,Frontend Development,1,Junior Developer,5.9
7,6,10,8,9,5,6,4,Beginner,Mobile Development,1,Junior Mobile Developer,6.0
9,11,6,5,7,8,4,3,Beginner,Software Development,0,Intern/Trainee,5.9
7,4,9,12,3,11,5,6,Beginner,Web Design,1,Junior Web Designer,5.9
6,3,7,11,10,4,9,5,Beginner,UI/UX Design,1,Junior Designer,5.9
5,7,9,8,4,6,2,3,Beginner,Data Science,0,Intern/Trainee,5.7
9,4,10,7,5,6,3,8,Beginner,Mobile Development,1,Junior Developer,5.9
3,5,7,8,6,12,9,4,Beginner,Software Engineering,1,Junior Developer,5.8
7,10,6,8,4,11,2,6,Beginner,Web Development,0,Intern/Trainee,5.9
9,7,10,6,12,5,7,3,Beginner,SEO,0,Intern/Trainee,6.1
6,10,9,7,8,5,2,11,Beginner,Mobile Development,0,Intern/Trainee,5.9
4,9,6,12,8,5,3,6,Beginner,Frontend Development,1,Junior Developer,5.8
5,6,7,8,9,10,3,7,Beginner,Software Engineering,0,Intern/Trainee,5.9
10,4,11,8,7,3,9,4,Beginner,UI/UX Design,1,Junior Designer,6.0
